CustomerID,Age,MonthlyCharges,Tenure,InternetService,Contract,Churn
140,52,77,42,No,Two year,No
141,54,55,32,DSL,Two year,Yes
142,64,41,40,No,Month-to-month,Yes
143,31,32,61,No,One year,Yes
144,20,60,7,Fiber optic,Two year,Yes
145,18,97,27,DSL,Month-to-month,No
146,22,45,56,No,Month-to-month,Yes
147,43,80,65,DSL,One year,Yes
148,31,63,68,DSL,One year,No
149,56,49,68,No,One year,Yes
150,44,96,72,No,Two year,Yes
151,26,56,25,Fiber optic,Two year,Yes
152,32,77,15,No,One year,Yes
153,32,54,68,DSL,One year,Yes
154,43,68,13,No,Month-to-month,No
155,59,78,20,Fiber optic,Two year,No
156,30,26,65,No,One year,Yes
157,68,54,45,No,Two year,No
158,49,58,63,Fiber optic,One year,Yes
159,56,25,56,Fiber optic,One year,No
160,66,97,57,No,One year,Yes
161,69,84,51,No,Month-to-month,No
162,49,46,41,Fiber optic,One year,No
163,21,30,31,Fiber optic,One year,Yes
164,47,28,13,Fiber optic,Month-to-month,No
165,54,29,64,Fiber optic,Month-to-month,No
166,40,73,18,No,One year,No
167,56,62,11,No,Month-to-month,No
168,62,69,47,No,Two year,No
169,32,65,70,Fiber optic,Month-to-month,Yes
170,60,82,69,DSL,Month-to-month,No
171,46,68,71,No,Month-to-month,Yes
172,53,50,35,Fiber optic,Two year,Yes
173,30,82,1,No,One year,No
174,49,27,14,No,Month-to-month,Yes
175,24,59,56,No,One year,No
176,68,79,70,Fiber optic,Month-to-month,Yes
177,39,70,19,No,Two year,Yes
178,45,24,51,DSL,Month-to-month,Yes
179,19,50,9,No,One year,Yes
180,59,26,24,Fiber optic,One year,No
181,62,64,30,Fiber optic,Month-to-month,Yes
182,23,66,13,No,One year,No
183,45,33,3,DSL,One year,Yes
184,45,44,72,No,Two year,No
185,61,66,31,Fiber optic,Month-to-month,No
186,61,65,62,Fiber optic,Two year,No
187,37,64,14,DSL,Month-to-month,Yes
188,47,50,16,No,One year,No
189,28,71,34,Fiber optic,One year,Yes
190,45,23,65,DSL,Month-to-month,No
191,42,65,31,DSL,One year,No
192,56,48,22,No,One year,Yes
193,50,68,52,No,Month-to-month,Yes
194,18,84,16,Fiber optic,Two year,Yes
195,44,20,10,Fiber optic,Month-to-month,No
196,69,87,50,No,Month-to-month,Yes
197,30,78,15,No,Month-to-month,No
198,58,56,36,Fiber optic,Two year,No
199,20,97,41,Fiber optic,Month-to-month,Yes
200,56,71,34,DSL,Two year,No
201,23,97,4,Fiber optic,One year,No
202,25,21,64,No,One year,Yes
203,44,40,33,Fiber optic,Month-to-month,Yes
204,26,48,23,DSL,Two year,Yes
205,54,95,44,Fiber optic,Two year,Yes
206,50,57,42,DSL,Two year,No
207,68,51,67,Fiber optic,One year,No
208,59,60,66,Fiber optic,Month-to-month,No
209,61,41,16,No,Month-to-month,No
210,41,61,22,DSL,Month-to-month,Yes
211,32,31,41,Fiber optic,Two year,No
212,49,76,31,No,One year,No
213,49,27,29,No,Two year,Yes
214,41,47,29,No,One year,Yes
215,58,76,52,Fiber optic,Two year,No
216,69,72,21,No,Month-to-month,No
217,66,99,70,No,One year,Yes
218,66,95,16,Fiber optic,Two year,Yes
219,69,36,51,No,Two year,No
220,29,40,28,Fiber optic,Two year,No
221,56,70,48,No,Two year,Yes
222,19,26,9,No,Month-to-month,Yes
223,20,80,60,DSL,One year,Yes
224,66,73,70,Fiber optic,Month-to-month,Yes
225,54,60,30,DSL,One year,Yes
226,66,79,32,No,Month-to-month,No
227,34,63,28,DSL,Month-to-month,No
228,66,96,25,No,Two year,Yes
229,19,48,28,DSL,Month-to-month,Yes
230,19,62,16,DSL,Month-to-month,No
231,45,56,13,Fiber optic,Two year,No
232,40,80,11,DSL,One year,No
233,54,78,25,DSL,Two year,Yes
234,49,80,10,DSL,Two year,Yes
235,50,91,22,Fiber optic,Month-to-month,Yes
236,18,39,50,DSL,Month-to-month,Yes
237,36,63,42,Fiber optic,Month-to-month,Yes
238,19,75,49,No,Month-to-month,Yes
239,61,67,33,No,Month-to-month,Yes
240,43,93,25,DSL,Two year,No
241,49,34,15,Fiber optic,Two year,Yes
242,23,95,44,Fiber optic,Month-to-month,Yes
243,49,75,34,Fiber optic,One year,No
244,21,75,61,DSL,Two year,Yes
245,28,65,19,No,One year,No
246,34,76,46,DSL,Two year,Yes
247,55,64,61,Fiber optic,Month-to-month,Yes
248,41,99,40,DSL,Month-to-month,Yes
249,22,61,72,DSL,Two year,Yes
250,69,81,17,No,One year,No
251,51,27,26,Fiber optic,One year,No
252,23,33,10,No,Month-to-month,No
253,39,45,8,Fiber optic,Two year,No
254,28,60,58,Fiber optic,Two year,No
255,65,48,53,Fiber optic,Month-to-month,Yes
256,33,82,2,Fiber optic,Month-to-month,Yes
257,50,32,36,DSL,Month-to-month,No
258,26,78,6,DSL,Month-to-month,No
259,23,66,27,No,One year,No
260,33,40,55,No,One year,Yes
261,46,31,42,No,Two year,No
262,20,43,46,DSL,Two year,No
263,37,40,24,DSL,Two year,Yes
264,53,23,47,No,Month-to-month,Yes
265,36,44,2,DSL,Two year,Yes
266,43,27,56,No,Two year,No
267,20,55,67,DSL,One year,Yes
268,36,53,56,No,One year,No
269,37,69,27,DSL,Two year,Yes
270,49,47,42,DSL,Two year,No
271,24,81,49,No,Month-to-month,No
272,69,93,69,DSL,Month-to-month,Yes
273,58,63,13,DSL,Two year,No
274,50,51,15,No,Two year,Yes
275,57,27,36,No,One year,No
276,56,73,48,DSL,Two year,No
277,35,36,28,DSL,One year,No
278,57,31,53,Fiber optic,One year,Yes
279,18,86,23,Fiber optic,Month-to-month,Yes
280,28,94,58,No,Two year,No
281,45,97,64,DSL,Month-to-month,No
282,42,90,20,Fiber optic,Two year,No
283,67,45,45,Fiber optic,Month-to-month,No
284,40,52,48,Fiber optic,Month-to-month,No
285,48,63,61,Fiber optic,Two year,No
286,47,51,13,Fiber optic,One year,No
287,59,57,62,Fiber optic,Two year,Yes
288,52,29,32,No,Two year,No
289,24,98,56,DSL,Month-to-month,No
290,33,98,21,DSL,One year,Yes
291,43,89,42,Fiber optic,One year,Yes
292,65,20,34,Fiber optic,Month-to-month,No
293,69,89,15,DSL,Two year,Yes
294,66,96,28,DSL,Month-to-month,Yes
295,19,94,43,No,Month-to-month,No
296,18,44,7,Fiber optic,Two year,No
297,65,71,54,DSL,Two year,Yes
298,29,71,49,No,Month-to-month,Yes
299,22,31,9,Fiber optic,Two year,No
300,54,65,56,No,Two year,No
301,49,28,50,No,Two year,No
302,26,64,32,Fiber optic,One year,Yes
303,58,55,33,DSL,Two year,No
304,52,28,12,No,Month-to-month,No
305,36,59,70,DSL,Month-to-month,Yes
306,65,53,27,DSL,Two year,Yes
307,33,72,2,No,Two year,Yes
308,20,64,13,No,Two year,No
309,37,52,9,Fiber optic,One year,Yes
310,41,48,11,DSL,Two year,No
311,50,57,63,DSL,Two year,No
312,41,67,71,DSL,Two year,No
313,69,96,71,Fiber optic,One year,Yes
314,28,78,22,Fiber optic,Two year,Yes
315,66,81,27,No,One year,No
316,25,54,32,No,One year,No
317,53,66,48,Fiber optic,Month-to-month,No
318,55,78,12,Fiber optic,Two year,No
319,57,78,19,DSL,Month-to-month,Yes
320,37,21,28,Fiber optic,Two year,Yes
321,52,79,19,DSL,One year,No
322,65,25,36,DSL,Two year,Yes
323,42,44,19,No,Two year,No
324,52,72,54,Fiber optic,One year,No
325,42,97,29,DSL,Two year,Yes
326,46,23,37,DSL,Month-to-month,No
327,35,91,5,Fiber optic,One year,No
328,63,75,55,No,Two year,No
329,35,21,35,DSL,Two year,No
330,19,36,10,DSL,One year,Yes
331,52,87,3,Fiber optic,One year,No
332,33,67,7,DSL,Month-to-month,No
333,58,46,25,No,Two year,No
334,53,53,17,DSL,One year,Yes
335,50,60,24,No,Month-to-month,No
336,21,25,20,Fiber optic,Month-to-month,No
337,50,25,31,DSL,One year,Yes
338,31,47,19,No,One year,Yes
339,38,27,30,No,Month-to-month,No
340,65,20,61,Fiber optic,Two year,No
341,37,99,69,No,Two year,No
342,25,37,25,No,Month-to-month,No
343,24,99,48,No,Month-to-month,Yes
344,20,66,16,DSL,One year,No
345,34,99,29,No,Two year,Yes
346,50,30,37,Fiber optic,Month-to-month,No
347,65,25,8,No,Month-to-month,No
348,29,33,15,DSL,One year,No
349,68,41,50,No,Two year,No
350,39,50,63,No,One year,No
351,39,47,16,DSL,Month-to-month,No
352,63,38,16,DSL,Month-to-month,Yes
353,47,20,57,No,Month-to-month,Yes
354,55,86,8,DSL,One year,No
355,55,91,15,Fiber optic,Month-to-month,No
356,62,32,6,DSL,Month-to-month,Yes
357,68,70,16,No,Two year,No
358,25,20,1,DSL,One year,No
359,44,48,19,Fiber optic,One year,No
360,44,32,49,DSL,Two year,No
361,51,61,71,No,Month-to-month,No
362,38,48,66,DSL,One year,No
363,47,35,72,No,Month-to-month,Yes
364,50,79,70,No,One year,Yes
365,45,53,40,DSL,Two year,Yes
366,64,59,43,No,One year,No
367,50,86,14,Fiber optic,Two year,No
368,22,74,34,No,One year,No
369,65,77,57,No,Two year,No
370,36,71,58,DSL,One year,No
371,21,83,1,No,One year,Yes
372,52,23,7,No,Month-to-month,No
373,66,67,64,No,Two year,No
374,34,91,71,Fiber optic,Month-to-month,Yes
375,61,37,46,No,Two year,No
376,45,29,38,No,Two year,No
377,47,33,27,Fiber optic,Month-to-month,No
378,46,70,63,Fiber optic,Month-to-month,Yes
379,63,65,67,No,Month-to-month,Yes
380,23,85,18,No,Month-to-month,Yes
381,52,80,57,No,Two year,Yes
382,58,21,2,Fiber optic,Two year,Yes
383,54,54,20,Fiber optic,One year,Yes
384,41,53,24,DSL,One year,Yes
385,46,89,52,Fiber optic,Month-to-month,Yes
386,66,87,10,DSL,Two year,Yes
387,63,84,70,Fiber optic,Two year,No
388,48,54,71,Fiber optic,Two year,No
389,52,67,11,No,Month-to-month,Yes
390,50,66,2,No,Month-to-month,No
391,69,30,70,No,One year,Yes
392,38,81,54,DSL,Month-to-month,No
393,49,23,67,Fiber optic,Two year,No
394,40,52,66,No,Two year,Yes
395,50,53,5,Fiber optic,Two year,No
396,20,93,5,DSL,Month-to-month,No
397,35,54,3,Fiber optic,Two year,No
398,42,72,63,No,Month-to-month,No
399,59,47,35,Fiber optic,One year,No
400,48,42,34,Fiber optic,Two year,No
401,20,68,2,Fiber optic,Two year,No
402,57,95,64,No,Two year,No
403,63,21,50,Fiber optic,Two year,Yes
404,41,96,45,DSL,Two year,No
405,67,45,41,No,One year,No
406,49,36,23,Fiber optic,Month-to-month,Yes
407,64,62,14,No,One year,Yes
408,39,78,23,DSL,Two year,Yes
409,40,85,72,No,Month-to-month,Yes
410,19,93,13,No,Two year,No
411,44,58,71,Fiber optic,Two year,Yes
412,59,45,36,DSL,One year,Yes
413,19,41,67,Fiber optic,Two year,No
414,43,94,33,No,Two year,No
415,34,41,64,Fiber optic,One year,No
416,57,77,24,No,One year,No
417,50,48,14,No,Month-to-month,Yes
418,26,29,13,Fiber optic,One year,Yes
419,60,44,8,Fiber optic,One year,No
420,65,40,29,Fiber optic,Two year,Yes
421,56,80,54,No,Two year,Yes
422,46,58,63,Fiber optic,Month-to-month,No
423,59,96,34,Fiber optic,One year,Yes
424,43,85,24,Fiber optic,Two year,Yes
425,52,25,52,DSL,Month-to-month,No
426,67,20,11,DSL,Two year,No
427,42,47,36,Fiber optic,Two year,Yes
428,41,30,70,No,One year,Yes
429,30,58,69,DSL,Month-to-month,No
430,24,88,55,No,Month-to-month,No
431,53,37,37,No,One year,No
432,62,39,53,Fiber optic,Month-to-month,Yes
433,37,95,57,Fiber optic,Two year,No
434,18,77,61,DSL,Month-to-month,Yes
435,25,69,53,Fiber optic,Month-to-month,Yes
436,63,60,30,DSL,One year,No
437,33,37,35,No,Two year,No
438,31,53,57,No,Two year,No
439,29,85,65,Fiber optic,One year,No
440,68,97,51,No,Month-to-month,Yes
441,40,84,8,No,Month-to-month,Yes
442,32,46,38,No,One year,Yes
443,45,49,33,No,Month-to-month,Yes
444,51,95,59,Fiber optic,Two year,No
445,19,20,66,No,Two year,No
446,49,60,57,DSL,Month-to-month,Yes
447,40,81,45,Fiber optic,Two year,Yes
448,39,20,2,Fiber optic,One year,No
449,68,24,53,DSL,Two year,No
450,42,67,7,Fiber optic,One year,No
451,39,24,49,DSL,Two year,No
452,39,90,39,Fiber optic,One year,No
453,66,45,3,Fiber optic,Two year,No
454,69,68,52,No,Month-to-month,Yes
455,59,89,54,Fiber optic,One year,Yes
456,23,80,12,Fiber optic,Two year,No
457,32,22,8,No,Month-to-month,Yes
458,60,58,72,No,Two year,Yes
459,54,97,50,DSL,Month-to-month,No
460,50,68,11,No,Two year,Yes
461,25,33,46,DSL,Month-to-month,Yes
462,61,39,66,Fiber optic,Two year,Yes
463,61,77,34,No,One year,No
464,22,63,58,DSL,Two year,Yes
465,56,28,21,No,Month-to-month,Yes
466,21,82,10,DSL,Month-to-month,No
467,23,81,10,Fiber optic,Two year,Yes
468,62,25,5,DSL,One year,Yes
469,49,85,25,Fiber optic,Two year,No
470,69,62,43,Fiber optic,Two year,Yes
471,47,83,41,DSL,Month-to-month,Yes
472,64,63,25,DSL,Month-to-month,No
473,52,24,4,No,Two year,Yes
474,57,32,13,Fiber optic,One year,Yes
475,69,34,46,Fiber optic,Month-to-month,Yes
476,33,53,63,DSL,Month-to-month,No
477,30,75,68,No,One year,No
478,67,92,35,DSL,Two year,Yes
479,59,49,67,DSL,Two year,Yes
480,47,75,20,No,One year,No
481,36,44,46,DSL,One year,Yes
482,34,87,55,No,Two year,No
483,36,66,63,Fiber optic,One year,No
484,45,47,18,DSL,One year,No
485,43,56,33,No,One year,Yes
486,54,93,62,DSL,Month-to-month,No
487,43,92,18,Fiber optic,One year,No
488,40,55,31,DSL,One year,Yes
489,26,20,28,DSL,One year,Yes
490,29,94,7,DSL,One year,No
491,18,44,43,DSL,Month-to-month,No
492,18,94,36,No,Month-to-month,No
493,64,60,52,No,One year,Yes
494,51,74,36,DSL,Month-to-month,No
495,49,88,41,No,Month-to-month,No
496,65,76,21,Fiber optic,Month-to-month,No
497,42,22,38,DSL,One year,Yes
498,57,27,66,DSL,Month-to-month,Yes
499,62,67,41,DSL,One year,No
500,18,78,53,No,One year,Yes
501,33,55,34,Fiber optic,Two year,Yes
502,56,74,68,DSL,Two year,No
503,22,98,8,Fiber optic,Two year,No
504,39,96,31,No,Month-to-month,Yes
505,46,60,59,No,Two year,No
506,20,93,21,No,Two year,No
507,29,78,4,No,Month-to-month,Yes
508,43,53,9,DSL,Two year,No
509,33,49,51,No,Month-to-month,No
510,68,81,56,No,One year,Yes
511,54,89,58,Fiber optic,Two year,No
512,39,74,68,DSL,Month-to-month,Yes
513,46,41,63,DSL,Two year,No
514,31,41,42,DSL,Month-to-month,No
515,45,32,35,No,Month-to-month,Yes
516,22,42,54,Fiber optic,One year,No
517,64,37,16,No,Two year,No
518,66,93,71,No,One year,No
519,47,85,67,Fiber optic,Two year,Yes
520,63,33,36,Fiber optic,Month-to-month,Yes
521,69,51,36,DSL,Two year,No
522,22,49,54,DSL,One year,No
523,29,38,57,DSL,One year,Yes
524,33,88,37,No,One year,Yes
525,43,67,57,No,Month-to-month,No
526,43,93,48,DSL,One year,No
527,65,24,38,Fiber optic,One year,No
528,38,97,54,DSL,One year,Yes
529,56,58,7,Fiber optic,Month-to-month,No
530,53,62,4,Fiber optic,Month-to-month,Yes
531,50,38,10,Fiber optic,Two year,Yes
532,47,94,18,DSL,Two year,No
533,54,58,62,No,Month-to-month,Yes
534,40,78,23,DSL,Month-to-month,Yes
535,27,71,62,Fiber optic,One year,No
536,22,69,15,DSL,One year,No
537,53,94,55,No,Two year,Yes
538,51,29,28,DSL,Month-to-month,No
539,69,34,36,Fiber optic,One year,Yes
540,48,79,26,No,One year,No
541,27,54,13,DSL,Two year,No
542,36,54,6,Fiber optic,Month-to-month,No
543,49,20,53,No,Two year,Yes
544,18,66,29,DSL,Two year,No
545,22,82,40,Fiber optic,One year,Yes
546,62,37,20,DSL,One year,Yes
547,21,45,60,No,One year,Yes
548,33,79,16,Fiber optic,Two year,Yes
549,41,37,26,Fiber optic,Month-to-month,Yes
550,33,82,55,Fiber optic,Month-to-month,No
551,19,60,7,No,Month-to-month,No
552,66,62,64,Fiber optic,Two year,Yes
553,45,57,19,Fiber optic,Two year,No
554,49,46,34,No,Month-to-month,No
555,44,68,61,No,One year,Yes
556,37,75,26,No,One year,Yes
557,41,68,24,No,Two year,No
558,29,60,40,DSL,Two year,Yes
559,67,79,43,No,One year,Yes
560,52,75,13,No,Month-to-month,No
561,50,95,67,DSL,Two year,No
562,50,81,14,Fiber optic,Two year,No
563,68,81,7,No,Month-to-month,No
564,60,61,57,DSL,Two year,No
565,54,47,64,Fiber optic,One year,Yes
566,29,56,52,No,Month-to-month,Yes
567,20,39,54,No,One year,Yes
568,18,54,11,No,Month-to-month,No
569,50,73,63,Fiber optic,Two year,No
570,57,90,25,No,Month-to-month,Yes
571,27,25,44,DSL,Two year,No
572,60,38,7,No,Two year,No
573,61,27,37,Fiber optic,One year,No
574,46,67,41,DSL,Two year,Yes
575,30,85,40,No,Two year,Yes
576,29,35,9,No,One year,Yes
577,48,43,51,No,One year,No
578,63,44,65,No,One year,Yes
579,19,32,64,No,Two year,Yes
580,68,92,55,No,One year,Yes
581,67,49,36,Fiber optic,Two year,No
582,52,28,65,DSL,Two year,Yes
583,40,82,38,No,One year,Yes
584,34,59,14,No,Two year,Yes
585,43,26,11,DSL,Month-to-month,No
586,25,99,10,DSL,Month-to-month,No
587,46,51,64,DSL,Two year,No
588,43,80,9,Fiber optic,One year,No
589,27,79,50,Fiber optic,Two year,No
590,43,70,12,No,One year,No
591,51,59,39,DSL,One year,No
592,68,98,56,Fiber optic,One year,No
593,58,30,11,DSL,One year,No
594,24,92,66,DSL,One year,No
595,21,35,42,No,One year,No
596,67,44,44,Fiber optic,Two year,Yes
597,62,51,67,DSL,Month-to-month,Yes
598,28,93,58,Fiber optic,One year,No
599,46,29,40,No,One year,No
600,53,76,32,Fiber optic,Two year,No
601,42,60,71,No,Two year,Yes
602,38,84,35,DSL,Month-to-month,Yes
603,53,51,1,No,One year,No
604,27,67,38,Fiber optic,Month-to-month,Yes
605,54,73,7,DSL,Month-to-month,Yes
606,26,94,1,DSL,Month-to-month,Yes
607,41,60,21,Fiber optic,One year,Yes
608,52,80,57,No,Month-to-month,No
609,66,26,27,DSL,Month-to-month,No
610,52,72,27,DSL,Two year,No
611,65,72,72,Fiber optic,One year,Yes
612,53,45,45,No,One year,Yes
613,35,80,50,No,Two year,Yes
614,66,54,37,Fiber optic,Month-to-month,No
615,56,22,64,DSL,Month-to-month,Yes
616,49,88,45,DSL,Two year,No
617,41,83,63,DSL,Month-to-month,Yes
618,40,30,68,Fiber optic,One year,Yes
619,49,25,51,DSL,Month-to-month,No
620,54,21,65,No,One year,Yes
621,29,96,69,DSL,Month-to-month,Yes
622,66,84,14,No,Month-to-month,Yes
623,30,59,37,Fiber optic,One year,No
624,40,34,60,DSL,One year,No
625,42,49,15,Fiber optic,Two year,No
626,52,25,71,DSL,Two year,No
627,58,40,67,Fiber optic,Month-to-month,No
628,47,76,51,Fiber optic,Month-to-month,Yes
629,34,74,46,Fiber optic,Two year,No
630,66,82,11,No,Two year,No
631,37,28,50,Fiber optic,Month-to-month,Yes
632,65,71,56,No,Month-to-month,No
633,42,56,30,Fiber optic,One year,No
634,39,89,42,DSL,One year,Yes
635,30,93,39,Fiber optic,Two year,No
636,36,28,31,No,One year,No
637,66,35,31,DSL,Month-to-month,No
638,53,51,37,No,One year,No
639,29,22,71,Fiber optic,Two year,Yes
640,58,33,25,Fiber optic,One year,No
641,36,40,12,Fiber optic,Month-to-month,No
642,29,91,31,DSL,One year,Yes
643,26,66,45,DSL,One year,No
644,24,40,38,No,One year,No
645,45,61,62,DSL,Two year,Yes
646,31,36,15,Fiber optic,Month-to-month,No
647,48,59,66,DSL,Month-to-month,No
648,69,77,32,Fiber optic,Month-to-month,Yes
649,36,23,13,No,One year,No
650,64,61,43,DSL,Month-to-month,No
651,33,76,11,DSL,Two year,Yes
652,22,55,22,DSL,Two year,Yes
653,52,71,54,DSL,Month-to-month,Yes
654,29,41,53,Fiber optic,Month-to-month,No
655,42,87,67,Fiber optic,One year,Yes
656,69,29,46,DSL,Month-to-month,Yes
657,38,43,42,No,One year,Yes
658,53,54,67,DSL,Month-to-month,Yes
659,40,97,18,Fiber optic,Month-to-month,Yes
660,33,39,69,No,Two year,No
661,56,71,28,DSL,One year,No
662,62,33,46,No,Two year,Yes
663,59,58,36,No,Two year,Yes
664,56,92,40,DSL,Two year,No
665,31,53,18,Fiber optic,Month-to-month,No
666,48,86,28,Fiber optic,Two year,No
667,22,95,3,No,Two year,No
668,52,31,12,Fiber optic,Two year,Yes
669,40,61,15,DSL,One year,No
670,46,50,30,DSL,One year,Yes
671,60,90,51,DSL,Two year,Yes
672,28,28,34,No,Two year,No
673,35,70,16,Fiber optic,Month-to-month,Yes
674,64,56,35,Fiber optic,Month-to-month,No
675,29,41,26,No,Two year,No
676,26,28,68,Fiber optic,Two year,No
677,27,99,57,No,Two year,Yes
678,61,83,67,No,Month-to-month,Yes
679,34,82,29,DSL,Two year,No
680,55,92,63,Fiber optic,Two year,Yes
681,24,31,44,DSL,Two year,No
682,63,46,35,No,Two year,Yes
683,30,66,25,Fiber optic,Two year,Yes
684,57,92,18,Fiber optic,Two year,Yes
685,59,47,55,DSL,One year,Yes
686,26,54,57,No,Two year,Yes
687,67,57,9,DSL,Two year,No
688,44,60,48,No,One year,No
689,19,86,62,DSL,Month-to-month,No
690,22,75,58,DSL,Two year,Yes
691,46,28,42,Fiber optic,Month-to-month,No
692,54,22,44,No,Month-to-month,No
693,55,70,37,Fiber optic,One year,Yes
694,36,96,2,Fiber optic,One year,No
695,25,68,31,Fiber optic,One year,No
696,65,99,60,DSL,Month-to-month,Yes
697,62,54,11,DSL,Month-to-month,Yes
698,18,35,5,Fiber optic,One year,No
699,39,59,42,DSL,Month-to-month,No
